epoch,age_accuracy,age_loss,emotions_accuracy,emotions_loss,ethinicity_accuracy,ethinicity_loss,loss,val_age_accuracy,val_age_loss,val_emotions_accuracy,val_emotions_loss,val_ethinicity_accuracy,val_ethinicity_loss,val_loss
0,0.2528409,1.7199471,0.34375,1.4719449,0.38352272,1.5878448,6.282583670182661,0.4375,1.5578492,0.1875,1.4673374,0.5,1.4182371,5.813540935516357
1,0.26988637,1.6957455,0.3693182,1.3929932,0.3721591,1.5345451,5.894165277481079,0.1875,1.6762762,0.25,1.5204405,0.3125,1.5715739,5.939765930175781
2,0.3380682,1.5915581,0.38352272,1.3259417,0.42613637,1.4441816,5.458870844407515,0.25,1.6106021,0.25,1.4246134,0.3125,1.3878015,5.445840358734131
3,0.39204547,1.5114815,0.44886363,1.2915133,0.47727272,1.3414,5.1121109615672715,0.125,1.6881528,0.3125,1.5034001,0.25,1.5863113,5.6911234855651855
4,0.42897728,1.4637071,0.50852275,1.2000624,0.5255682,1.2567588,4.793695774945346,0.25,1.70543,0.25,1.4965999,0.3125,1.5449176,5.579944610595703
5,0.5,1.311357,0.6505682,0.98280984,0.58522725,1.1037917,4.201353571631691,0.25,1.5994298,0.25,1.3622291,0.5625,1.4481121,5.183449745178223
6,0.5426136,1.1421982,0.70454544,0.8032647,0.64772725,0.975061,3.671685901555148,0.25,1.617409,0.3125,1.6519325,0.25,1.6241441,5.621289253234863
7,0.63352275,0.9649133,0.75284094,0.7119065,0.73579544,0.8068222,3.1935500665144487,0.1875,1.7137421,0.25,1.6340663,0.5,1.4622848,5.501182556152344
8,0.60795456,0.9967907,0.78977275,0.6216193,0.77840906,0.70693755,3.00144624710083,0.1875,2.272169,0.25,2.2261462,0.3125,1.7407482,6.898956298828125
9,0.68465906,0.8714147,0.8323864,0.5276465,0.79545456,0.64561504,2.6980256817557593,0.25,2.0043864,0.3125,1.4857055,0.3125,1.7350056,5.871578216552734
10,0.69602275,0.78607106,0.87215906,0.4202489,0.8380682,0.52415645,2.371526528488506,0.5625,1.2252352,0.3125,1.2226102,0.75,0.98592806,4.069016456604004
11,0.7556818,0.69919145,0.8806818,0.361042,0.8693182,0.46445876,2.154810217293826,0.6875,1.0512352,0.625,0.8919523,0.8125,0.93263304,3.500607490539551
12,0.78125,0.6394177,0.88920456,0.33786133,0.87784094,0.40973586,2.007255716757341,0.625,1.0951922,0.5,1.0703639,0.75,0.85574746,3.6365702152252197
13,0.7926136,0.59968394,0.90340906,0.26877907,0.875,0.36926118,1.8485380031845786,0.5,1.1893059,0.5625,0.9341558,0.5625,1.0937614,3.8233509063720703
14,0.80965906,0.53958184,0.9176136,0.24365969,0.90625,0.3270018,1.7124150016091086,0.625,1.099529,0.5625,0.9308764,0.6875,0.9122788,3.540656089782715
15,0.86079544,0.45735797,0.9318182,0.21999572,0.89772725,0.31151798,1.5849003304134717,0.75,0.91623634,0.5,1.0100645,0.8125,0.8175536,3.337832450866699
16,0.86079544,0.41670516,0.92045456,0.20706682,0.90909094,0.27978277,1.4956349026073108,0.6875,0.95321184,0.625,0.7667863,0.75,0.83515435,3.1452622413635254
17,0.85795456,0.40537974,0.94034094,0.18048646,0.94034094,0.2432184,1.4173948927359148,0.75,0.89089704,0.6875,0.6791574,0.8125,0.7645397,2.921003818511963
18,0.89772725,0.3723234,0.94034094,0.17791332,0.9318182,0.2403007,1.375191943211989,0.6875,1.0042297,0.6875,0.84615874,0.75,0.80892175,3.24204421043396
19,0.90340906,0.3461262,0.9431818,0.17268613,0.95454544,0.21953498,1.3193676525896245,0.75,0.9718539,0.6875,0.83735335,0.6875,0.8284577,3.216801166534424
20,0.9119318,0.31861886,0.95170456,0.15958641,0.93465906,0.21044163,1.2659603546966205,0.75,0.9764175,0.6875,0.7822633,0.75,0.8011783,3.1352157592773438
